chrom	length	bases	mean	min	max
chr1	248956422	2282204388	9.17	0	10757
chr2	242193529	3835339895	15.84	0	4583
chr3	198295559	3148606207	15.88	0	2437
chr4	190214555	3164965801	16.64	0	7291
chr5	181538259	1048275762	5.77	0	2236
chr6	170805979	2691096613	15.76	0	346
chr7	159345973	2546785681	15.98	0	4277
chr8	145138636	2297135605	15.83	0	700
chr9	138394717	1994010111	14.41	0	443
chr10	133797422	2003275661	14.97	0	1096
chr11	135086622	2160351745	15.99	0	1178
chr12	133275309	2124189732	15.94	0	945
chr13	114364328	1589574313	13.90	0	2459
chr14	107043718	1414823150	13.22	0	924
chr15	101991189	1345135019	13.19	0	2278
chr16	90338345	1488614325	16.48	0	11224
chr17	83257441	1358594876	16.32	0	1006
chr18	80373285	1245000219	15.49	0	904
chr19	58617616	951843818	16.24	0	197
chr20	64444167	1129948353	17.53	0	920
chr21	46709983	749068293	16.04	0	1900
chr22	50818468	705262382	13.88	0	14655
chrX	156040895	2423627188	15.53	0	2763
chrY	57227415	40055704	0.70	0	965
chrM	16569	51866064	3130.31	371	3382
chr1_KI270706v1_random	175055	3354919	19.16	1	63
chr1_KI270707v1_random	32032	338000	10.55	2	18
chr1_KI270708v1_random	127682	2034786	15.94	0	36
chr1_KI270709v1_random	66860	15088857	225.68	5	1058
chr1_KI270710v1_random	40176	905516	22.54	2	44
chr1_KI270711v1_random	42210	959081	22.72	1	60
chr1_KI270712v1_random	176043	2794180	15.87	0	131
chr1_KI270713v1_random	40745	1731306	42.49	0	81
chr1_KI270714v1_random	41717	514847	12.34	0	22
chr2_KI270715v1_random	161471	3790531	23.47	1	59
chr2_KI270716v1_random	153799	8044605	52.31	0	236
chr3_GL000221v1_random	155397	5629119	36.22	0	86
chr4_GL000008v2_random	209709	11610805	55.37	0	686
chr5_GL000208v1_random	92689	2293248	24.74	0	66
chr9_KI270717v1_random	40062	339256	8.47	0	13
chr9_KI270718v1_random	38054	1110521	29.18	1	73
chr9_KI270719v1_random	176845	3121104	17.65	0	45
chr9_KI270720v1_random	39050	537908	13.77	0	24
chr14_GL000009v2_random	201709	7818517	38.76	1	89
chr14_GL000225v1_random	211173	58933777	279.08	0	1302
chr14_KI270722v1_random	194050	3466579	17.86	0	46
chr14_GL000194v1_random	191469	4376332	22.86	0	51
chr14_KI270723v1_random	38115	987327	25.90	2	48
chr14_KI270724v1_random	39555	617427	15.61	1	47
chr14_KI270725v1_random	172810	2642001	15.29	0	42
chr14_KI270726v1_random	43739	27500	0.63	0	4
chr15_KI270727v1_random	448248	2735585	6.10	0	31
chr16_KI270728v1_random	1872759	19560198	10.44	0	77
chr17_GL000205v2_random	185591	8429705	45.42	0	111
chr17_KI270729v1_random	280839	11374639	40.50	0	1047
chr17_KI270730v1_random	112551	4933348	43.83	0	177
chr22_KI270731v1_random	150754	2200521	14.60	0	48
chr22_KI270732v1_random	41543	1881818	45.30	0	64
chr22_KI270733v1_random	179772	42782664	237.98	0	1256
chr22_KI270735v1_random	42811	1834546	42.85	6	83
chr22_KI270736v1_random	181920	28808141	158.36	0	647
chr22_KI270737v1_random	103838	1530257	14.74	0	50
chr22_KI270738v1_random	99375	2184326	21.98	0	55
chr22_KI270739v1_random	73985	166181	2.25	0	8
chrUn_KI270302v1	2274	3719	1.64	0	2
chrUn_KI270304v1	2165	0	0.00	0	0
chrUn_KI270303v1	1942	3052	1.57	0	2
chrUn_KI270322v1	21476	2987	0.14	0	2
chrUn_KI270320v1	4416	59150	13.39	1	18
chrUn_KI270310v1	1201	2591	2.16	0	3
chrUn_KI270316v1	1444	0	0.00	0	0
chrUn_KI270312v1	998	836	0.84	0	2
chrUn_KI270311v1	12399	7070	0.57	0	5
chrUn_KI270317v1	37690	2745	0.07	0	1
chrUn_KI270411v1	2646	345	0.13	0	1
chrUn_KI270414v1	2489	800	0.32	0	1
chrUn_KI270419v1	1029	2639	2.56	0	4
chrUn_KI270418v1	2145	19730	9.20	0	11
chrUn_KI270420v1	2321	1566	0.67	0	1
chrUn_KI270424v1	2140	8360	3.91	1	5
chrUn_KI270422v1	1445	1099	0.76	0	1
chrUn_KI270423v1	981	778	0.79	0	2
chrUn_KI270429v1	1361	0	0.00	0	0
chrUn_KI270442v1	392061	17027656	43.43	0	112
chrUn_KI270466v1	1233	265339	215.20	43	274
chrUn_KI270465v1	1774	8106	4.57	2	6
chrUn_KI270467v1	3920	16428154	4190.86	22	5888
chrUn_KI270435v1	92983	3147072	33.85	0	93
chrUn_KI270438v1	112505	78447516	697.28	0	8084
chrUn_KI270468v1	4055	20478	5.05	0	7
chrUn_KI270510v1	2415	51240	21.22	15	24
chrUn_KI270509v1	2318	7064	3.05	0	6
chrUn_KI270518v1	2186	23725	10.85	1	15
chrUn_KI270508v1	1951	8048	4.13	2	5
chrUn_KI270516v1	1300	21647	16.65	7	20
chrUn_KI270512v1	22689	490477	21.62	0	42
chrUn_KI270519v1	138126	5420339	39.24	0	141
chrUn_KI270522v1	5674	46450	8.19	1	10
chrUn_KI270511v1	8127	215983	26.58	1	30
chrUn_KI270515v1	6361	216871	34.09	1	44
chrUn_KI270507v1	5353	55432	10.36	3	15
chrUn_KI270517v1	3253	43239	13.29	4	17
chrUn_KI270529v1	1899	12851	6.77	2	16
chrUn_KI270528v1	2983	1774	0.59	0	5
chrUn_KI270530v1	2168	2496	1.15	0	2
chrUn_KI270538v1	91309	3301284	36.16	0	174
chrUn_KI270544v1	1202	1477	1.23	0	2
chrUn_KI270548v1	1599	0	0.00	0	0
chrUn_KI270583v1	1400	1978	1.41	0	2
chrUn_KI270587v1	2969	19790	6.67	2	10
chrUn_KI270580v1	1553	1552	1.00	0	1
chrUn_KI270581v1	7046	21768	3.09	0	6
chrUn_KI270579v1	31033	198596	6.40	0	13
chrUn_KI270589v1	44474	730606	16.43	0	88
chrUn_KI270590v1	4685	121020	25.83	0	33
chrUn_KI270584v1	4513	42855	9.50	3	18
chrUn_KI270582v1	6504	15482	2.38	0	7
chrUn_KI270588v1	6158	32568	5.29	0	10
chrUn_KI270593v1	3041	4832	1.59	0	3
chrUn_KI270591v1	5796	217311	37.49	8	60
chrUn_KI270330v1	1652	19536	11.83	4	14
chrUn_KI270333v1	2699	2650339	981.97	25	1304
chrUn_KI270336v1	1026	100354	97.81	23	155
chrUn_KI270337v1	1121	218906	195.28	2	282
chrUn_KI270364v1	2855	0	0.00	0	0
chrUn_KI270362v1	3530	3560	1.01	0	2
chrUn_KI270366v1	8320	12318	1.48	0	4
chrUn_KI270389v1	1298	0	0.00	0	0
chrUn_KI270395v1	1143	0	0.00	0	0
chrUn_KI270396v1	1880	1730	0.92	0	1
chrUn_KI270393v1	1308	0	0.00	0	0
chrUn_KI270384v1	1658	1631	0.98	0	2
chrUn_KI270381v1	1930	337	0.17	0	1
chrUn_KI270382v1	4215	0	0.00	0	0
chrUn_KI270372v1	1650	7049	4.27	0	5
chrUn_KI270375v1	2378	4859	2.04	0	3
chrUn_KI270448v1	7992	236672	29.61	5	39
chrUn_KI270521v1	7642	87305	11.42	5	17
chrUn_GL000195v1	182896	7079884	38.71	0	85
chrUn_GL000219v1	179198	4927149	27.50	0	92
chrUn_GL000220v1	161802	51784065	320.05	0	1625
chrUn_GL000224v1	179693	11043616	61.46	2	581
chrUn_KI270741v1	157432	644882	4.10	0	14
chrUn_GL000226v1	15008	25285683	1684.81	147	2694
chrUn_GL000213v1	164239	1192290	7.26	0	16
chrUn_KI270743v1	210658	5395789	25.61	0	77
chrUn_KI270744v1	168472	11867515	70.44	1	505
chrUn_KI270745v1	41891	226016	5.40	0	14
